"ParasiteCheckedBinomial","close","sexual","vertical","closenonsexual","nonclose","environment","soil","water","feces","vector","intermediate","direct","indirect","Par.Type","Par.Phylum","Par.Class"
"Cyathostomum labratum",0,0,0,0,1,1,0,0,1,0,0,0,0,"Helminth","Nematoda","Chromadorea"
"Cyathostomum montgomeryi",0,0,0,0,1,1,0,0,1,0,0,0,0,"Helminth","Nematoda","Chromadorea"
"Cyathostomum tetracanthum",0,0,0,0,1,1,0,0,1,0,0,0,0,"Helminth","Nematoda","Chromadorea"
"Cyclospora cercopitheci",1,0,0,0,1,0,0,0,0,0,0,1,0,"Protozoa","Apicomplexa","Coccidia"
"Cyclospora colobi",1,0,0,0,1,0,0,0,0,0,0,1,0,"Protozoa","Apicomplexa","Coccidia"
"Cyclospora papionis",1,0,0,0,1,0,0,0,0,0,0,1,0,"Protozoa","Apicomplexa","Coccidia"
"Cylicocyclus auriculatus",0,0,0,0,1,1,0,0,1,0,0,0,0,"Helminth","Nematoda","Chromadorea"
"Cylicocyclus gyalocephaloides",0,0,0,0,1,1,0,0,1,0,0,0,0,"Helminth","Nematoda","Chromadorea"
"Cylicocyclus insigne",0,0,0,0,1,1,0,0,1,0,0,0,0,"Helminth","Nematoda","Chromadorea"
"Cylicocyclus nassatus",0,0,0,0,1,1,0,0,1,0,0,0,0,"Helminth","Nematoda","Chromadorea"
"Cylicocyclus triramosus",0,0,0,0,1,1,0,0,1,0,0,0,0,"Helminth","Nematoda","Chromadorea"
